US20030122874A1: (dynamic, document, )
US20060248698A1: (side, tubular structure, )
US20060248698A1: (provide, tubular member, )
US20060248698A1: (first, tubular member, )
US20060248698A1: (extend, tubular member, )
US20060248698A1: (form, tubular member, )
US20060248698A1: (form, tubular structure, )
US20060248698A1: (include, tubular structure, )
US20060248698A1: (end, tubular member, )
US20060248698A1: (pattern, tubular structure, )
US20060248698A1: (contraction, tubular structure, )
US20060248698A1: (end, circumferential wall, )
US20060248698A1: (dispose, circumferential wall, )
US20060248698A1: (end, lumen, )
US20060248698A1: (opening, tubular structure, )
US20060248698A1: (first, , wall edge)
US20060248698A1: (second, , wall edge)
US20020128706A1: (implantable, , insertable)
US20020128706A1: (support sleeve, region, )
US20020128706A1: (constriction, vascular, )
US20020128706A1: (expandable, , mean)
US20020128706A1: (expandable, , radially)
US20020128706A1: (along, , least)
US20020128706A1: (one, , longitudinal side)
US20020128706A1: (extend, , axially)
US20020128706A1: (penetrate, , least)
US20020128706A1: (close, specify slot, )
US20020128706A1: (one, specify slot, )
US20020128706A1: (together, , edge face)
US20020128706A1: (one, another, )
US20020128706A1: (shape, another, )
US20020128706A1: (make, metal, )
US20020128706A1: (steel, metal alloy, )
===========================
US10480793B2: (combination, outdoor, )
US10480793B2: (system, pizza oven, )
US10480793B2: (include, main body, )
US10480793B2: (assembly, fireplace, )
US10480793B2: (dispose, chimney flue, )
US10480793B2: (oven, fireplace, )
US10480793B2: (communication, chimney flue, )
US10480793B2: (refractory, , heat resistant)
US10480793B2: (dispose, fireplace, )
US10480793B2: (configure, fireplace, )
US10480793B2: (suspend, fireplace, )
US10480793B2: (form, , front wall)
US10480793B2: (receive, , least)
US10480793B2: (project, main body, )
US10480793B2: (step, main body, )
US10480793B2: (combination, pizza oven, )
US10480793B2: (oven, dome, )
US10480793B2: (wall, chimney, )
US10480793B2: (combination, chimney, )
US10480793B2: (communication, fireplace, )
US10480793B2: (first, flue duct, )
US10480793B2: (second, flue duct, )
US10480793B2: (second, flue duct, )
US10480793B2: (dispose, flue duct, )
US10480793B2: (first, sidewall, )
US10480793B2: (second, main body, )
US10480793B2: (second, sidewall, )
US10480793B2: (dispose, duct, )
US10480793B2: (oven, rear, )
US10480793B2: (wall, rear, )
US10480793B2: (wall, main body, )
US5972596A: (construct, nucleic acid, )
US5972596A: (gag, gene, )
US5972596A: (include, gene, )
US5972596A: (follow, nucleotide sequence, )
===========================
US20030131144A1: (integrate, first software, )
US20030131144A1: (component, first software, )
US20030131144A1: (second, , software component)
US20030131144A1: (create, schema, )
US20030131144A1: (integrate, schema, )
US20030131144A1: (data, schema, )
US20030131144A1: (wedge, data model, )
US20030131144A1: (integrate, computer system, software component)
US20030131144A1: (translate, data element, )
US20030131144A1: (first, data model, )
US20030131144A1: (format, first software, )
US20030131144A1: (component, schema, )
US20030131144A1: (second, schema, )
US20030131144A1: (software, computer system, )
US20030131144A1: (integrate, computer system, )
US20030131144A1: (integrate, , software component)
US20030131144A1: (store, data sequence, )
US20030131144A1: (instruction, data sequence, )
US20030131144A1: (software, computer, )
US20030131144A1: (implement, computer, )
US20030131144A1: (second, schema, )
US20030131144A1: (first, schema, )
US20030131144A1: (first, second data, )
US20030131144A1: (view, second data, )
US20030131144A1: (view, first data, )
US20030131144A1: (first, schema, )
US20030149934A1: (model, business information, logical structure)
US20030149934A1: (set, computer program, )
US20030149934A1: (mapping, , xml)
US20030149934A1: (model, business information, )
US20030149934A1: (model, , logical structure)
US20030149934A1: (give, document, xml)
US20030149934A1: (describe, document, )
US20030149934A1: (give, document, )
US20030149934A1: (give, , xml)
US20030149934A1: (base, language, )
US20030149934A1: (mapping, interface layer, )
US20030149934A1: (first, , xml)
US20030149934A1: (business model, language, )
US20030149934A1: (convert, language, )
US20030149934A1: (reflect, , logical structure)
US20030149934A1: (create, language, follow step)
US20030149934A1: (second, model structure, xml)
US20030149934A1: (second, , xml)
US20030149934A1: (model, convert data, )
US20030149934A1: (form, convert data, )
US20030149934A1: (second, model structure, )
US20030149934A1: (create, language, )
US20030149934A1: (create, language, )
US20030149934A1: (model, business information, requirement)
US20030149934A1: (create, business information, )
US20030149934A1: (model, , requirement)
US20030149934A1: (model, business information, need)
US20030149934A1: (meet, language, requirement)
US20030149934A1: (relation, business information, )
US20030149934A1: (model, , need)
US20030149934A1: (represent, document, )
US20030149934A1: (automatically, language, )
US20030149934A1: (generate, schema, )
US20030149934A1: (definition, schema, )
US20030149934A1: (definition, language, )
US20030149934A1: (meet, language, )
US20030149934A1: (meet, , requirement)
US20030149934A1: (piece, business information, requirement)
US20030149934A1: (automatically, , various)
US20030149934A1: (choice, , different)
US20030149934A1: (piece, business information, )
===========================
US20050268284A1: (configure, data processing system, )
US20050268284A1: (tool, , programmed)
US20050268284A1: (resolve, path, )
US20050268284A1: (name, path, )
US20050268284A1: (artifact, processing, )
US20050268284A1: (uniform, processing, )
US20050268284A1: (resolution, , routine)
US20050268284A1: (reference, path, )
US20050268284A1: (produce, path, )
US20050268284A1: (product, computer, usable)
US20050268284A1: (include, computer, usable)
US20050268284A1: (product, computer program, )
US20050268284A1: (product, computer, )
US20050268284A1: (include, computer, )
US20050268284A1: (resolve, program code, )
US20050268284A1: (reading, program code, )
US20050268284A1: (parse, program code, )
US20050268284A1: (select, program code, )
US20050268284A1: (execute, program code, )
US20040216090A1: (configuration, management system, )
US20040216090A1: (access, , privilege)
US20040216090A1: (configuration, file version, )
US20040216090A1: (user, capability information, )
US20040216090A1: (user, capability information, )
US20040216090A1: (user, access token, )
US20040216090A1: (user, access token, )
US20040216090A1: (security, descriptor, )
US20040216090A1: (system, descriptor, )
US20040216090A1: (security, access token, )
US20040216090A1: (store, descriptor, )
US20040216090A1: (describe, capability information, )
US20040216090A1: (describe, version file, )
US20040216090A1: (manage, version file, )
===========================
US20080043425A1: (provide, thermal, pathway)
US20080043425A1: (across, , different)
US20080043425A1: (provide, thermal, )
US20080043425A1: (surround, computer system, )
US20080043425A1: (configure, computer system, operable)
US20080043425A1: (configure, computer system, )
US20080043425A1: (configure, , operable)
US20080043425A1: (orientation, computer system, )
US20080043425A1: (one, thermal, pathway)
US20080043425A1: (one, thermal, )
US20080043425A1: (divider, , within)
US20080043425A1: (first, region, )
US20080043425A1: (second, region, )
US20080043425A1: (first, region, )
US20080043425A1: (second, region, )
US20080043425A1: (processor, , within)
US20080043425A1: (enclosure, region, )
US20080043425A1: (heat sink, , transfer heat)
US20080043425A1: (facilitate, , transfer heat)
US20080043425A1: (fin, , within)
US20080043425A1: (enclosure, , mean)
US20080043425A1: (divider, , mean)
US20080043425A1: (enclosure, region, mean)
US20080043425A1: (processor, , mean)
US20080043425A1: (assembly, , mean)
US20080043425A1: (heat sink, , mean)
US20080043425A1: (heat pipe, , mean)
US20080043425A1: (dissipate, , transfer heat)
US20080043425A1: (allow, air flow, )
US20080043425A1: (interior, air flow, )
US20080043425A1: (interior, region, )
US20080043425A1: (device, region, )
US20030156385A1: (receive, , least)
US20030156385A1: (housing, height, )
US20030156385A1: (mount, , within)
US20030156385A1: (cause, electromagnetic interference, least)
US20030156385A1: (mount, support structure, )
US20030156385A1: (fan, , within)
US20030156385A1: (limit, electromagnetic interference, )
US20030156385A1: (cause, electromagnetic interference, )
US20030156385A1: (cause, , least)
US20030156385A1: (air, outside, )
US20030156385A1: (housing, outside, )
US20030156385A1: (housing, smart card, )
US20030156385A1: (processor, smart card, )
US20030156385A1: (suppress, electromagnetic interference, )
US20030156385A1: (housing, , least)
US20030156385A1: (vent, height, )
US20030156385A1: (generate, electromagnetic energy, least)
US20030156385A1: (couple, support structure, )
US20030156385A1: (emission, electromagnetic energy, )
US20030156385A1: (generate, electromagnetic energy, )
US20030156385A1: (generate, , least)
US20030156385A1: (mount, support structure, )
US20030156385A1: (adapt, support structure, )
US20030156385A1: (air, , least)
US20030156385A1: (housing, height, )
===========================
US20080043425A1: (provide, thermal, pathway)
US20080043425A1: (across, , different)
US20080043425A1: (provide, thermal, )
US20080043425A1: (surround, computer system, )
US20080043425A1: (configure, computer system, operable)
US20080043425A1: (configure, computer system, )
US20080043425A1: (configure, , operable)
US20080043425A1: (orientation, computer system, )
US20080043425A1: (one, thermal, pathway)
US20080043425A1: (one, thermal, )
US20080043425A1: (divider, , within)
US20080043425A1: (first, region, )
US20080043425A1: (second, region, )
US20080043425A1: (first, region, )
US20080043425A1: (second, region, )
US20080043425A1: (processor, , within)
US20080043425A1: (enclosure, region, )
US20080043425A1: (heat sink, , transfer heat)
US20080043425A1: (facilitate, , transfer heat)
US20080043425A1: (fin, , within)
US20080043425A1: (enclosure, , mean)
US20080043425A1: (divider, , mean)
US20080043425A1: (enclosure, region, mean)
US20080043425A1: (processor, , mean)
US20080043425A1: (assembly, , mean)
US20080043425A1: (heat sink, , mean)
US20080043425A1: (heat pipe, , mean)
US20080043425A1: (dissipate, , transfer heat)
US20080043425A1: (allow, air flow, )
US20080043425A1: (interior, air flow, )
US20080043425A1: (interior, region, )
US20080043425A1: (device, region, )
US20040246677A1: (cool, apparatus, )
US20040246677A1: (configure, conductive base plate, )
US20040246677A1: (cpu, , transfer heat)
US20040246677A1: (couple, heat conductor, )
US20040246677A1: (couple, heat conductor, )
US20040246677A1: (dissipate heat, heat conductor, )
US20040246677A1: (carry, heat conductor, )
US20040246677A1: (window, computer chassis, )
US20040246677A1: (fan, computer chassis, )
US20040246677A1: (interior, computer chassis, )
US20040246677A1: (generate, first component, )
US20040246677A1: (heat sink, computer chassis, )
US20040246677A1: (heat sink, base member, )
US20040246677A1: (instal, base member, )
US20040246677A1: (instal, first component, )
US20040246677A1: (cool, first component, )
US20040246677A1: (chassis, first window, )
US20040246677A1: (chassis, first window, )
US20040246677A1: (direct, air flow, )
US20040246677A1: (direct, pas, )
US20040246677A1: (chassis, second component, )
US20040246677A1: (fan, pas, )
US20040246677A1: (heat sink, outside, )
US20040246677A1: (cool, outside, )
US20040246677A1: (cpu, computer, transfer power)
US20040246677A1: (adapt, circulation device, )
US20040246677A1: (heat sink, computer, )
US20040246677A1: (cpu, computer, )
US20040246677A1: (cpu, , transfer power)
US20040246677A1: (supply, computer, )
US20040246677A1: (configure, circulation device, )
US20040246677A1: (window, computer, )
===========================
US20080043425A1: (provide, thermal, pathway)
US20080043425A1: (across, , different)
US20080043425A1: (provide, thermal, )
US20080043425A1: (surround, computer system, )
US20080043425A1: (configure, computer system, operable)
US20080043425A1: (configure, computer system, )
US20080043425A1: (configure, , operable)
US20080043425A1: (orientation, computer system, )
US20080043425A1: (one, thermal, pathway)
US20080043425A1: (one, thermal, )
US20080043425A1: (divider, , within)
US20080043425A1: (first, region, )
US20080043425A1: (second, region, )
US20080043425A1: (first, region, )
US20080043425A1: (second, region, )
US20080043425A1: (processor, , within)
US20080043425A1: (enclosure, region, )
US20080043425A1: (heat sink, , transfer heat)
US20080043425A1: (facilitate, , transfer heat)
US20080043425A1: (fin, , within)
US20080043425A1: (enclosure, , mean)
US20080043425A1: (divider, , mean)
US20080043425A1: (enclosure, region, mean)
US20080043425A1: (processor, , mean)
US20080043425A1: (assembly, , mean)
US20080043425A1: (heat sink, , mean)
US20080043425A1: (heat pipe, , mean)
US20080043425A1: (dissipate, , transfer heat)
US20080043425A1: (allow, air flow, )
US20080043425A1: (interior, air flow, )
US20080043425A1: (interior, region, )
US20080043425A1: (device, region, )
US20050103477A1: (cool, apparatus, )
US20050103477A1: (create, fan unit, least)
US20050103477A1: (cool, fan unit, )
US20050103477A1: (create, fan unit, )
US20050103477A1: (create, , least)
US20050103477A1: (inside, main body, )
US20050103477A1: (include, fan unit, )
US20050103477A1: (heat pipe, , transfer heat)
US20050103477A1: (first, heat source, )
US20050103477A1: (first, computer, )
US20050103477A1: (cool, , least)
US20050103477A1: (second, heat source, )
US20050103477A1: (plate, , transfer heat)
US20050103477A1: (fan, , mean)
US20050103477A1: (heat transfer, , mean)
US20050103477A1: (include, main body, least)
US20050103477A1: (include, main body, )
US20050103477A1: (include, , least)
US20050103477A1: (include, microprocessor, least)
US20050103477A1: (include, microprocessor, )
US20050103477A1: (memory, chipset, )
US20050103477A1: (graphic, chipset, )
US20050103477A1: (generate, microprocessor, )
US20050103477A1: (first, microprocessor, )
US20050103477A1: (generate, , least)
US20050103477A1: (second, chipset, )
===========================
US20080174957A1: (cool system, electronic device, )
US20080174957A1: (housing, electronic device, )
US20080174957A1: (extend, duct wall, least)
US20080174957A1: (dispose, circuit board, within)
US20080174957A1: (flow, cool air, within)
US20080174957A1: (dissipate heat, duct, within)
US20080174957A1: (one, duct wall, )
US20080174957A1: (extend, duct wall, )
US20080174957A1: (extend, , least)
US20080174957A1: (wall, circuit board, )
US20080174957A1: (dispose, circuit board, )
US20080174957A1: (dispose, , within)
US20080174957A1: (form, electronic device, )
US20080174957A1: (form, duct, )
US20080174957A1: (enable, duct, )
US20080174957A1: (enable, cool air, )
US20080174957A1: (flow, cool air, )
US20080174957A1: (flow, , within)
US20080174957A1: (dissipate heat, duct, )
US20080174957A1: (dissipate heat, , within)
US20080174957A1: (manufacturing, electronic device, )
US20080174957A1: (provide, electronic device, )
US20080174957A1: (provide, , least)
US20080174957A1: (dispose, electronic device, )
US20080174957A1: (housing, circuit board, mean)
US20080174957A1: (housing, circuit board, )
US20080174957A1: (housing, , mean)
US20080174957A1: (wall, , mean)
US20080174957A1: (one, duct wall, mean)
US20080174957A1: (form, duct, mean)
US20080174957A1: (direct, cool air, )
US20080174957A1: (dispose, duct, within)
US20080174957A1: (dispose, duct, )
US20080174957A1: (housing, electronic device, )
US20080174957A1: (form, duct, )
US20080174957A1: (form, first circuit board, )
US20080174957A1: (first, second circuit, )
US20050276018A1: (portable, thermal management system, )
US20050276018A1: (dissipate, thermal energy, within)
US20050276018A1: (adapt, thermal module, )
US20050276018A1: (dissipate, thermal energy, )
US20050276018A1: (interior, area, )
US20050276018A1: (housing, area, )
US20050276018A1: (via, , least)
US20050276018A1: (seal, member, )
US20050276018A1: (adapt, member, )
US20050276018A1: (migrate, , least)
US20050276018A1: (interior, thermal energy, )
US20050276018A1: (portable, area, )
===========================
US20070127891A1: (switch, live video, )
US20070127891A1: (decode, live video, )
US20070127891A1: (playback, digital video, )
US20070127891A1: (record system, digital video, )
US20070127891A1: (stream, video decoder, without)
US20070127891A1: (receive, video data, )
US20070127891A1: (stream, video data, )
US20070127891A1: (stream, video decoder, )
US20070127891A1: (loop, video data, )
US20070127891A1: (stream, playback buffer, )
US20070127891A1: (decode, video data, )
US20070127891A1: (loop, playback buffer, )
US20070127891A1: (decode, playback buffer, )
US20070127891A1: (transmit, video data, )
US20070127891A1: (store, playback buffer, )
US20070127891A1: (store, video data buffer, )
US20070127891A1: (mark, data element, )
US20070127891A1: (transmit, video decoder, )
US20070127891A1: (stream, resume, )
US20070127891A1: (receive, resume, )
US20070127891A1: (store, video data, )
US20070127891A1: (store, playback buffer, )
US20070127891A1: (one, data element, marked)
US20070127891A1: (receive, video data, )
US20070127891A1: (receive, playback buffer, )
US20070127891A1: (start, playback buffer, )
US20070127891A1: (one, data element, )
US20070127891A1: (point, , immediately)
US20070127891A1: (receive, digital video data, )
US20070127891A1: (stream, digital video data, )
US20070127891A1: (stream, first data, )
US20070127891A1: (receive, first data, )
US20070127891A1: (stream, second data, )
US20070127891A1: (stream, first data, path first)
US20070127891A1: (compare, , marked)
US20070127891A1: (element, path data, )
US20070127891A1: (element, second data, )
US20070127891A1: (match, path, marked)
US20070127891A1: (match, path, )
US20070127891A1: (match, , marked)
US20070127891A1: (receive, second data, )
US20070127891A1: (match, path start, )
US20030170003A1: (delayed, , relative)
US20030170003A1: (video, apparatus, )
US20030170003A1: (port, apparatus, )
US20030170003A1: (input, video signal, )
US20030170003A1: (video, , frame base)
US20030170003A1: (store, video signal, )
US20030170003A1: (video, , frame output)
US20030170003A1: (processing path, video output, )
US20030170003A1: (base, video output, )
US20030170003A1: (frame, two, )
US20030170003A1: (decoder, two, )
US20030170003A1: (provide, single, )
US20030170003A1: (box, single, )
US20030170003A1: (compress, digital video, )
US20030170003A1: (input, digital video, )
US20030170003A1: (output, display video, )
US20030170003A1: (couple, , input output)
US20030170003A1: (television, analog, )
US20030170003A1: (receiver, , uncompressed)
US20030170003A1: (couple, frame buffer, input output)
US20030170003A1: (couple, frame buffer, )
===========================
US10572044B2: (include, array substrate, )
US10572044B2: (gate, line data, )
US10572044B2: (dispose, touch electrode, )
US10572044B2: (touch, drive circuit, one touch)
US10572044B2: (drive line, electrically, )
US10572044B2: (connect, electrically, )
US10572044B2: (touch, drive circuit, )
US10572044B2: (side, , one touch)
US10572044B2: (configure, electrically, )
US10572044B2: (one side, , side array)
US10572044B2: (include, array substrate, )
US10572044B2: (driver, , one touch)
US10572044B2: (electrode, electrically, )
US10572044B2: (short, , one touch)
US10572044B2: (correspond, , one touch)
US10572044B2: (connect, another, )
US10572044B2: (drive line, first touch, )
US10572044B2: (short, first touch, )
US10572044B2: (side, another, )
US10572044B2: (part, first touch, )
EP1202244A1: (signal, base image, )
EP1202244A1: (light source, drive circuit, )
EP1202244A1: (control, image signal, )
EP1202244A1: (optical switch, optical device, )
EP1202244A1: (beam, output light source, )
EP1202244A1: (modulate, output light source, )
EP1202244A1: (control operation, image signal, )
EP1202244A1: (optical switch, optical device, )
EP1202244A1: (light source, , operation time)
EP1202244A1: (combine, optical device, )
EP1202244A1: (claim, apparatus, )
EP1202244A1: (change operation, drive circuit, )
EP1202244A1: (display, , period)
EP1202244A1: (base, input image, )
EP1202244A1: (signal, input image, )
EP1202244A1: (set, drive circuit, )
EP1202244A1: (time, , period)
EP1202244A1: (set, , emission intensity)
EP1202244A1: (set, drive circuit, emission intensity)
EP1202244A1: (change, , emission intensity)
EP1202244A1: (change, drive circuit, )
EP1202244A1: (array, light source light, )
EP1202244A1: (array, light source unit, )
EP1202244A1: (one, light source array, )
EP1202244A1: (one, one light source, )
EP1202244A1: (unit, one light source, )
EP1202244A1: (change, drive circuit, emission intensity)
EP1202244A1: (arrange, light source unit, )
EP1202244A1: (control, image signal, least)
EP1202244A1: (control, , least)
EP1202244A1: (one, , emission intensity)
EP1202244A1: (array, output light source, )
EP1202244A1: (control, light source array, )
EP1202244A1: (include, image signal, )
EP1202244A1: (include, pixel signal, )
EP1202244A1: (control, pixel signal, emission intensity)
EP1202244A1: (extract, drive circuit, )
EP1202244A1: (extract, pixel signal, )
EP1202244A1: (correspond, pixel signal, )
EP1202244A1: (correspond, light source unit, )
EP1202244A1: (control, pixel signal, )
EP1202244A1: (control, , emission intensity)
EP1202244A1: (include, pixel signal, )
EP1202244A1: (include, red signal, )
EP1202244A1: (include, light source array, )
EP1202244A1: (include, red light source, )
EP1202244A1: (control, drive circuit, emission intensity)
EP1202244A1: (control, drive circuit, )
EP1202244A1: (use, red light source, )
EP1202244A1: (use, red signal, )
EP1202244A1: (use, green light source, )
EP1202244A1: (use, blue light source, blue)
EP1202244A1: (use, blue light source, )
EP1202244A1: (use, , blue)
EP1202244A1: (pixel, light source unit, )
EP1202244A1: (correspond, light source unit, )
EP1202244A1: (one, light source unit, )
EP1202244A1: (number, , unequal)
EP1202244A1: (optical switch, , period)
EP1202244A1: (one, optical device, )
EP1202244A1: (crystal, micromirror, )
EP1202244A1: (include, , least)
EP1202244A1: (emit, diode, )
EP1202244A1: (include, light source array, least)
EP1202244A1: (apply, color field, sequential)
EP1202244A1: (perform, display image, )
EP1202244A1: (apply, color field, )
EP1202244A1: (three, color field, period)
EP1202244A1: (three, color field, )
EP1202244A1: (device, liquid crystal display, )
EP1202244A1: (display, drive circuit, )
EP1202244A1: (control system, liquid crystal display, )
EP1202244A1: (turn, , use one)
EP1202244A1: (low temperature, , p-si)
EP1202244A1: (tft, thin film transistor, )
EP1202244A1: (set, drive circuit, color temperature)
EP1202244A1: (set, , color temperature)
EP1202244A1: (ratio, red light source, )
EP1202244A1: (change, , least)
EP1202244A1: (adjust, , emission intensity)
EP1202244A1: (keep, , emission intensity)
EP1202244A1: (one, light source unit, )
EP1202244A1: (locate, light source unit, )
EP1202244A1: (gradation, apparatus, )
EP1202244A1: (display, , per pixel)
EP1202244A1: (use, optical device, )
EP1202244A1: (light source, optical device, )
EP1202244A1: (include, light source array, )
EP1202244A1: (arrange, optical device, )
EP1202244A1: (base, light source array, )
EP1202244A1: (display, , pixel control)
EP1202244A1: (include, light source light, )
EP1202244A1: (time, light source unit, )
EP1202244A1: (pixel, , without)
EP1202244A1: (include one, one light source, )
EP1202244A1: (correspond, one light source, )
EP1202244A1: (luminescence, field emission, )
===========================
US20060229331A1: (clear, stable aqueous solution, )
US20060229331A1: (dissolve, ketoprofen, )
US20060229331A1: (dissolve, aqueous, )
EP0769294A1: (provide, aqueous solution, naproxen)
EP0769294A1: (dissolve, pharmaceutical composition, )
EP0769294A1: (provide, aqueous solution, )
EP0769294A1: (form, soluble salt, )
EP0769294A1: (form, diclofenac, )
EP0769294A1: (form, ketoprofen, )
EP0769294A1: (form, ibuprofen, )
EP0769294A1: (provide, , pleasant)
EP0769294A1: (claim, pharmaceutical composition, )
EP0769294A1: (select, lemon, )
EP0769294A1: (claim, pseudoephedrine, )
EP0769294A1: (form, powder granule, )
EP0769294A1: (fill, powder granule, )
===========================
US20070028215A1: (software, object, )
US20070028215A1: (first, object, )
US20070028215A1: (first, namespace, )
US20070028215A1: (software, namespace, )
US20070028215A1: (second, object, )
US20070028215A1: (second, namespace, )
US20070028215A1: (software, object, attribute)
US20070028215A1: (send, information, )
US20070028215A1: (detect, information, )
US20030009754A1: (remote, server, supervisory)
US20030009754A1: (instal, , supervisory)
US20030009754A1: (process control, management information system, )
US20030009754A1: (software, management information system, )
US20030009754A1: (software, central, )
US20030009754A1: (software, central, )
US20030009754A1: (deployment, server, )
US20030009754A1: (remote, server, )
US20030009754A1: (remote, , supervisory)
US20030009754A1: (step, control computer, )
US20030009754A1: (first, , software component)
US20030009754A1: (application, remote location, )
US20030009754A1: (transmit, destination, software component)
US20030009754A1: (second, destination, )
US20030009754A1: (transmit, destination, )
US20030009754A1: (transmit, , software component)
US20030009754A1: (determine, , software component)
US20030009754A1: (present, remote location, )
US20030009754A1: (communication link, object, )
US20030009754A1: (process control, manufacturing information, )
US20030009754A1: (application, manufacturing information, )
US20030009754A1: (handle, object, capable)
US20030009754A1: (include, namespace, )
US20030009754A1: (name, object, )
US20030009754A1: (correspond, object, )
US20030009754A1: (handle, object, )
US20030009754A1: (handle, object, )
US20030009754A1: (one, another, )
US20030009754A1: (establish, first handle, )
US20030009754A1: (execute, object, )
US20030009754A1: (correspond, first handle, )
US20030009754A1: (name, client, )
US20030009754A1: (reference, client, )
US20030009754A1: (reference, resource object, )
US20030009754A1: (store, first handle, )
US20030009754A1: (establish, second handle, )
US20030009754A1: (location, object, )
US20030009754A1: (relocate, object, )
US20030009754A1: (correspond, second handle, )
US20030009754A1: (store, second handle, )
===========================
US20070028215A1: (software, object, )
US20070028215A1: (first, object, )
US20070028215A1: (first, namespace, )
US20070028215A1: (software, namespace, )
US20070028215A1: (second, object, )
US20070028215A1: (second, namespace, )
US20070028215A1: (software, object, attribute)
US20070028215A1: (send, information, )
US20070028215A1: (detect, information, )
US20050065978A1: (synchronize, information, )
US20050065978A1: (indication, change information, )
US20050065978A1: (first, change information, )
US20050065978A1: (first, namespace, )
US20050065978A1: (determine, entity, )
US20050065978A1: (second, entity, )
US20050065978A1: (second, namespace, )
US20050065978A1: (characteristic, entity, )
US20050065978A1: (characteristic, conflict information, )
US20050065978A1: (modify, entity, )
US20050065978A1: (resolve, entity, )
US20050065978A1: (create, , representation)
US20050065978A1: (synchronize, entity, within)
US20050065978A1: (synchronize, technique, )
US20050065978A1: (synchronize, entity, )
US20050065978A1: (synchronize, two, )
US20050065978A1: (state, information, within)
US20050065978A1: (state, namespace, )
US20050065978A1: (state, information, )
US20050065978A1: (temporary, entity, within)
US20050065978A1: (synchronization, namespace, without)
US20050065978A1: (temporary, entity, )
US20050065978A1: (synchronization, namespace, )
US20050065978A1: (synchronization, , without)
US20050065978A1: (temporary, entity, longer)
US20050065978A1: (encode, data structure, )
US20050065978A1: (first, entity, field name)
US20050065978A1: (first, entity, )
US20050065978A1: (first, , field name)
US20050065978A1: (name, unique, )
US20050065978A1: (across, unique, )
US20050065978A1: (across, entity data, )
US20050065978A1: (structure, entity data, )
US20050065978A1: (identity, , globally unique)
US20050065978A1: (phantom, property, )
US20050065978A1: (operative, property, )
US20050065978A1: (distinguish, first state, )
US20050065978A1: (synchronization, environment, )
US20050065978A1: (associate, environment, )
US20050065978A1: (external, namespace, )
US20050065978A1: (associate, central, )
US20050065978A1: (change, namespace, least)
US20050065978A1: (receive, change information, )
US20050065978A1: (external, change information, )
US20050065978A1: (change, namespace, )
US20050065978A1: (change, , least)
US20050065978A1: (one, object, )
US20050065978A1: (external, object, )
US20050065978A1: (receive, change information, first order)
US20050065978A1: (component, placeholder, )
US20050065978A1: (component, placeholder, )
US20050065978A1: (collision, placeholder, )
===========================
US20090018964A1: (perform, electronic device, )
US20090018964A1: (provide, purchaser information, )
US20090018964A1: (communication, purchaser information, )
US20090018964A1: (communication, certification, )
US20090018964A1: (receive, identification information, )
US20090018964A1: (associate, identification information, )
US20090018964A1: (associate, purchaser, )
US20090018964A1: (user, electronic device, )
US20090018964A1: (base, purchaser, )
US20090018964A1: (authentication, , customer)
US20090018964A1: (facilitate, certification, )
US20090018964A1: (receive, purchaser information, )
US20090018964A1: (associate, electronic device, customer)
US20090018964A1: (send, identification information, )
US20090018964A1: (associate, electronic device, )
US20090018964A1: (associate, , customer)
US20030055792A1: (step, electronic payment, )
US20030055792A1: (user, user terminal, )
US20030055792A1: (basis, user terminal, )
US20030055792A1: (basis, user identification information, )
US20030055792A1: (transmit, user identification information, )
US20030055792A1: (store, user identification information, )
US20030055792A1: (beforehand, user terminal, )
US20030055792A1: (transmit, payment device, )
US20030055792A1: (via, payment device, )
US20030055792A1: (via, first communication network, )
US20030055792A1: (transmit, transaction information, )
US20030055792A1: (transmit, user terminal, )
US20030055792A1: (receive, user identification information, )
US20030055792A1: (transmit, merchant terminal, )
US20030055792A1: (identify, user terminal, )
US20030055792A1: (transmit, user identification information, )
US20030055792A1: (result, user terminal, )
US20030055792A1: (via, user terminal, )
US20030055792A1: (via, second communication network, )
US20030055792A1: (store, user terminal, authenticity)
US20030055792A1: (transmit, , authenticity)
US20030055792A1: (user, payment device, )
US20030055792A1: (store, user terminal, )
US20030055792A1: (store, , authenticity)
US20030055792A1: (receipt, transaction information, authenticity)
US20030055792A1: (payment, processing, )
US20030055792A1: (basis, processing, )
US20030055792A1: (basis, transaction information, )
US20030055792A1: (receipt, transaction information, )
US20030055792A1: (receipt, , authenticity)
US20030055792A1: (payment, electronic payment, )
US20030055792A1: (identify, user identification information, )
US20030055792A1: (user, merchant terminal, )
US20030055792A1: (network, user identification information, )
US20030055792A1: (receive, user terminal, )
US20030055792A1: (store, user terminal, )
US20030055792A1: (identify, user terminal, )
US20030055792A1: (request, user terminal, )
US20030055792A1: (payment, electronic payment system, )
US20030055792A1: (connect, merchant terminal, )
US20030055792A1: (connect, payment device, )
US20030055792A1: (connect, user terminal, )
US20030055792A1: (identify, merchant terminal, )
US20030055792A1: (command, second communication network, )
US20030055792A1: (transaction, electronic payment system, )
US20030055792A1: (transfer, merchant terminal, )
US20030055792A1: (transfer, user identification information, )
US20030055792A1: (application, user terminal, )
US20030055792A1: (connect, payment device, )
US20030055792A1: (first, second communication network, )
US20030055792A1: (user, communication terminal, )
US20030055792A1: (basis, communication terminal, )
US20030055792A1: (store, , mean)
US20030055792A1: (result, , authenticity)
US20030055792A1: (confirm, , mean)
US20030055792A1: (store, user identification information, )
US20030055792A1: (transmit, , mean)
